# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_POTENTIAL_R	Vact|Tpot|Ppl1	{MB}re{MB}mme	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Ppl2	{MB}re{MB}tte	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Ppl3	{MB}re{MB}vat	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Psg1	{MB}re{MB}n	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Psg2	{MB}re{MB}t	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_R	Vact|Tpot|Psg3	{MB}re{MB}e	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Dnut	{DB}s	A_KULUNUT
V_BACK_POTENTIAL_S	Vact|Cnut|Npl	{MB}see{MB}t	#
V_BACK_POTENTIAL_S	Vact|Cnut|Npl|Uarch	{MB}sehe{MB}t	#
V_BACK_POTENTIAL_S	Vact|Cnut|Nsg	{MB}sut	#
V_BACK_POTENTIAL_S	Vact|Cnut|Nsg|Udial	{MB}su	#
V_BACK_POTENTIAL_S	Vact|Tpast|Npl|Ncon	{MB}see{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_S	Vact|Tpast|Npl|Ncon|Uarch	{MB}sehe{MB}t	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_S	Vact|Tpast|Nsg|Ncon	{MB}sut	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_S	Vact|Tpast|Nsg|Ncon|Udial	{MB}su	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Ncon	{MB}se	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Ppl1	{MB}se{MB}mme	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Ppl2	{MB}se{MB}tte	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Ppl3	{MB}se{MB}vat	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Psg1	{MB}se{MB}n	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Psg2	{MB}se{MB}t	V_BACK_CLIT_OPT
V_BACK_POTENTIAL_S	Vact|Tpot|Psg3	{MB}se{MB}e	V_BACK_CLIT_OPT
V_BACK_STRONG_PAST	Vact|Tpast|Ppl3	{MB}i{MB}vat	V_BACK_CLIT_OPT
V_BACK_STRONG_PAST	Vact|Tpast|Psg3	{MB}i	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Dmaisilla	{DB}maisilla	V_BACK_POSS_AN_OBL
V_BACK_STRONG_PRESENT	Vact|Ima|Xabe	{MB}ma{MB}tta	V_BACK_POSS_AN_OPT
V_BACK_STRONG_PRESENT	Vact|Ima|Xade	{MB}ma{MB}lla	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Ima|Xela	{MB}ma{MB}sta	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Ima|Xill	{MB}ma{MB}an	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Ima|Xill|Uarch	{MB}ma{MB}han	V_BACK_CLIT_OPT
