new_para	suffix_regex
NOUN_SIVELLIN	llin
NOUN_SIVISTYNYT	nyt
NOUN_SKEITTI	tti
NOUN_SOINTI	nti
NOUN_SOKEA	ea
NOUN_SOTA	ta
NOUN_SPOTIFY
NOUN_STADION
NOUN_SUHTEET	teet
NOUN_SUKAT	kat
NOUN_SULKA	ka
NOUN_SUODATIN	tin
NOUN_SUOT	uot
NOUN_SYDÄN	n
NOUN_SYLI	i
NOUN_SYLTÄ	tä
NOUN_SYNNYTTIMET	ttimet
NOUN_SYÖMINGIT	ngit
NOUN_TAIMI	mi
NOUN_TAIVAL	val
NOUN_TALKOOT	oot
NOUN_TALO	[Oo]
NOUN_TANHUA	ua
NOUN_TARPEET	peet
NOUN_TARVE	ve
NOUN_TAUDIT	dit
NOUN_TAUTI	ti
NOUN_TAVAT	vat
NOUN_TEE	[ée]e
NOUN_TEHDAS	das
NOUN_TEHTAAT	taat
NOUN_TEKO	ko
NOUN_TIE	ie
NOUN_TIENOO	oo
NOUN_TIETEET	teet
NOUN_TIET	iet
NOUN_TIHVII	ii
NOUN_TIKKAAT	kaat
NOUN_TIKKU	kku
NOUN_TIPPA	ppa
NOUN_TOIMET	et
NOUN_TOKEE	ee
NOUN_TÖLPÄKÖT	köt
NOUN_TÖLPÄT	pät
NOUN_TONGIT	git
NOUN_TÖRPPÖ	ppö
NOUN_TORTTU	tu
NOUN_TOULAT	at
NOUN_TRIKOO	oo
NOUN_TUHKA	hka
NOUN_TULI	i
NOUN_TUNNIT	nnit
NOUN_TUNTO	nto
NOUN_TUOMIO	o
NOUN_TYÖTTÖMÄT	ttömät
NOUN_TYÖT	yöt
NOUN_TYÖ	yö
NOUN_TYPPI	ppi
NOUN_TYTÄR	tär
NOUN_TYTÖT	töt
NOUN_TYYLI	i
NOUN_TYYPPI	ppi
NOUN_UDAR	dar
NOUN_UKKO	kko
NOUN_UKSI	ksi
NOUN_ULAPPA	ppa
NOUN_UROS	os
NOUN_VAADIN	din
NOUN_VAAKA	ka
NOUN_VAANII	i
NOUN_VAATTEET	tteet
NOUN_VAINAA	aa
NOUN_VAKUUTUS	s
NOUN_VALJAAT	aat
NOUN_VALLAT	llat
NOUN_VALTA	lta
NOUN_VANHEMMAT	mmat
NOUN_VANHEMPI	mpi
NOUN_VANKI	nki
NOUN_VANTUS	tus
NOUN_VARAS	as
NOUN_VARAT	at
NOUN_VARPAAT	paat
NOUN_VARSI	rsi
NOUN_VÄRTÖ	rtö
NOUN_VARVAS	vas
NOUN_VASEN	en
NOUN_VEHKEILY	y
NOUN_VEITSI	tsi
NOUN_VELI	eli
NOUN_VELJET	eljet
NOUN_VEMMEL	mmel
NOUN_VERI	eri
NOUN_VERSAILLES
NOUN_VETIMET	timet
NOUN_VETO	to
NOUN_VETY	ty
NOUN_VIENTI	nti
NOUN_VIHKIÄISET	set
NOUN_VIHKO	hko
NOUN_VIIRRET	rret
NOUN_VIIS	s
NOUN_VIIVE	ve
NOUN_VIKA	ka
NOUN_VINKU	nku
NOUN_VIRRET	rret
NOUN_VIRSI	rsi
NOUN_VOIMA	a
NOUN_VUODET	det
NOUN_VUOLLE	lle
NOUN_VUOLLET	llet
NOUN_VUOSITUHAT	t
NOUN_VUO	uo
NOUN_YHTIÖT	t
NOUN_YKSIKKÖ	kkö
NOUN_YLÄNKÖ	nkö
NOUN_YLKÄ	kä
NOUN_YLÖÖ	öö
NOUN_YMPÄRYSTÄ	ä
NOUN_YÖKKÖ	kkö
NOUN_YRITTÄ	ttä
NOUN_YSTÄVYKSET	kset
NOUN_ZEN
NOUN_ZOMBIE	e
NUM_51kahdeksanbiljardia	kahdeksanbiljardia
NUM_51kahdeksanbiljoonaa	kahdeksanbiljoonaa
