new_para	deletion
PCLE_HAH	
PCLE_HYVILLÄÄN	än
PCLE_IKINÄ	
PCLE_ILKOSILLAAN	an
PCLE_ISTUALLEEN	en
PCLE_KOTONA	
PCLE_JO	
PCLE_JONNE	
PCLE_KUHUN	
PCLE_LEVÄLLEEN	
PCLE_VAAN	
PCLE_LISÄKSI	
PCLE_MITEN	
PCLE_NOPEASTI	
PCLE_NÄHDEN	
PCLE_NÄKYVIIN	n
PCLE_TYHMÄSTI	
PCLE_TYKÖ	
PCLE_VALTAAN	n
PCLE_VUOKSI	
PCLE_YLIPÄÄNSÄ	
PCLE_YLLE	
N_51Iso-Britannia	-Britannia
N_51Mustameri	ameri
N_51Punainenmeri	nenmeri
N_51Uusikaupunki	sikaupunki
N_51Uusimaa	simaa
N_51Uusi-Seelanti	si-Seelanti
N_51aavameri	ameri
N_51hienosokeri	sokeri
N_51isojako	jako
N_51isokoskelo	koskelo
N_51isokuovi	kuovi
N_51isokäpylintu	käpylintu
N_51isolepinkäinen	lepinkäinen
N_51isolokki	lokki
N_51isomaksaruoho	maksaruoho
N_51isomasto	masto
N_51isopanda	panda
N_51isopistooli	pistooli
N_51isopurje	purje
N_51isorokko	rokko
N_51isorumpu	rumpu
N_51isosisar	sisar
N_51isosisko	sisko
N_51isotaivot	taivot
N_51isovarvas	varvas
N_51isoveli	veli
N_51isoviha	viha
N_51karkearehu	arehu
N_51kevytsarja	tsarja
N_51kirjavapillike	apillike
N_51kuivakakku	akakku
N_51kuivakukka	akukka
N_51kuivamuona	amuona
N_51kuivapaino	apaino
N_51kuivapari	apari
N_51kuivarehu	arehu
N_51kultainennoutaja	nennoutaja
N_51laiskakoira	akoira
N_51lämminruoka	minruoka
N_51lämminvarasto	minvarasto
N_51lämminvaunu	minvaunu
N_51matalameri	ameri
N_51mustaherukka	aherukka
N_51mustaleipä	aleipä
N_51mustaleski	aleski
N_51mustalintu	alintu
N_51mustamaija	amaija
N_51mustamakkara	amakkara
N_51mustamies	amies
N_51mustamulta	amulta
N_51mustapekka	apekka
N_51mustapippuri	apippuri
N_51mustaraamattu	araamattu
N_51mustatorvisieni	atorvisieni
N_51mustaviinimarja	aviinimarja
N_51nuoriemäntä	iemäntä
N_51nuoriherra	iherra
N_51nuori-isäntä	i-isäntä
N_51nuorikarja	ikarja
N_51nuorimies	imies
N_51nuoripari	ipari
N_51omakuva	akuva
N_51omatunto	atunto
N_51pahahenki	ahenki
N_51pahaputki	aputki
N_51palavakivi	akivi
N_51palavapensas	apensas
N_51palavarakkaus	arakkaus
N_51pitkähousu	ähousu
N_51pitkäkirkko	äkirkko
N_51pitkäperjantai	äperjantai
N_51pitkäpiimä	äpiimä
N_51pitkäsiima	äsiima
N_51pitkätakki	ätakki
N_51pitkäthousut	äthousut
N_51puolikuu	ikuu
N_51puolimatka	imatka
N_51puolipäivä	ipäivä
N_51puoliväli	iväli
N_51puoliyö	iyö
N_51raitisilma	isilma
N_51raskassarja	ssarja
N_51raskasvesi	svesi
N_51raskasvety	svety
N_51sepiväpeippi	äpeippi
N_51suorakulma	akulma
N_51suoraommel	aommel
N_51syvämeri	ämeri
