new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
NOUN_51mustalintu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustamaija	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustamakkara	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustamies	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustamulta	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustapekka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustapippuri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustaraamattu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustatorvisieni	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51mustaviinimarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuoriemäntä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuoriherra	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuori-isäntä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuorikarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuorimies	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51nuoripari	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51omakuva	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51omatunto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pahahenki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pahaputki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51palavakivi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51palavapensas	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51palavarakkaus	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkähousu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkäkirkko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkäperjantai	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkäpiimä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkäsiima	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkätakki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51pitkäthousut	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51puolikuu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51puolimatka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51puolipäivä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51puoliväli	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51puoliyö	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51raitisilma	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51raskassarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
