lemma	homonym	argument
eristyä	1	intransitive
eristäytyä	1	intransitive
eristää	1	intransitive
eritellä	1	intransitive
erittyä	1	intransitive
erittää	1	intransitive
eritä	1	intransitive
eriyttää	1	intransitive
eriytyä	1	intransitive
erkaantua	1	intransitive
erkautua	1	intransitive
erodoida	1	intransitive
erodoitua	1	intransitive
eroittaa	1	intransitive
eroottistaa	1	intransitive
eroottistua	1	intransitive
erota	1	intransitive
erotella	1	intransitive
erotisoida	1	intransitive
erotisoitua	1	intransitive
erottaa	1	intransitive
erottautua	1	intransitive
erottua	1	intransitive
erääntyä	1	intransitive
esialtistaa	1	intransitive
esieristää	1	intransitive
esiinhuutaa	1	intransitive
esiintuoda	1	intransitive
esiintyä	1	intransitive
esijännittää	1	intransitive
esikasvattaa	1	intransitive
esikaupunkimaistua	1	intransitive
esikeittää	1	intransitive
esikoota	1	intransitive
esikuormittaa	1	intransitive
esikuumentaa	1	intransitive
esikypsentää	1	intransitive
esikäsitellä	1	intransitive
esiladata	1	intransitive
esilleantaa	1	intransitive
esillehuutaa	1	intransitive
esillenostaa	1	intransitive
esillenousta	1	intransitive
esilleottaa	1	intransitive
esillepanna	1	intransitive
esillepilkahtaa	1	intransitive
esillepuristaa	1	intransitive
esillepursua	1	intransitive
esillepyrkiä	1	intransitive
esillesaada	1	intransitive
esilletulla	1	intransitive
esilletuoda	1	intransitive
esilämmittää	1	intransitive
esimuotoilla	1	intransitive
esineellistyä	1	intransitive
esineellistää	1	intransitive
esineistyä	1	intransitive
esineistää	1	intransitive
esipainaa	1	intransitive
esipainattaa	1	intransitive
esipestä	1	intransitive
esipuhdistaa	1	intransitive
esiseuloa	1	intransitive
esisulattaa	1	intransitive
esitellä	1	intransitive
esitelmöidä	1	intransitive
esittäytyä	1	intransitive
esittää	1	intransitive
esityttää	1	intransitive
esivakauttaa	1	intransitive
esivalmistaa	1	intransitive
esivalmistella	1	intransitive
esiytyä	1	intransitive
eskaloida	1	intransitive
eskaloitua	1	intransitive
estellä	1	intransitive
esteröidä	1	intransitive
estimoida	1	intransitive
estohäiritä	1	intransitive
estyä	1	intransitive
estää	1	intransitive
etabloitua	1	intransitive
etiketoida	1	intransitive
etiketöidä	1	intransitive
etoa	1	intransitive
etsata	1	intransitive
etsintäkuuluttaa	1	intransitive
etsiskellä	1	intransitive
etsiytyä	1	intransitive
etsiä	1	intransitive
etuilla	1	intransitive
etusijaistaa	1	intransitive
etäyttää	1	intransitive
etäännyttää	1	intransitive
etääntyä	1	intransitive
eurooppalaistaa	1	intransitive
eurooppalaistua	1	intransitive
evakuoida	1	intransitive
evaluoida	1	intransitive
evankelioida	1	intransitive
evästellä	1	intransitive
evästää	1	intransitive
evätä	1	intransitive
fabuloida	1	intransitive
facebookata	1	intransitive
fagosytoida	1	intransitive
fakkiintua	1	intransitive
fakkiutua	1	intransitive
faksata	1	intransitive
faktoroida	1	intransitive
falsifioida	1	intransitive
falskata	1	intransitive
fanittaa	1	intransitive
fantisoida	1	intransitive
fasetoida	1	intransitive
feidata	1	intransitive
feilata	1	intransitive
fermentoida	1	intransitive
fermentoitua	1	intransitive
fibata	1	intransitive
fikseerata	1	intransitive
fiksoida	1	intransitive
fiksoitua	1	intransitive
fiktionalisoida	1	intransitive
fileerata	1	intransitive
fileoida	1	intransitive
fillaroida	1	intransitive
filmata	1	intransitive
filmatisoida	1	intransitive
filmintää	1	intransitive
filosofoida	1	intransitive
filtrata	1	intransitive
finansioida	1	intransitive
fissioitua	1	intransitive
flambeerata	1	intransitive
flekteerata	1	intransitive
flirtata	1	intransitive
flirttailla	1	intransitive
flokkikuvioida	1	intransitive
flopata	1	intransitive
fluorata	1	intransitive
fluoresoida	1	intransitive
fluorittaa	1	intransitive
fluoroida	1	intransitive
fokalisoida	1	intransitive
fokusoida	1	intransitive
folioida	1	intransitive
formaalistaa	1	intransitive
formalisoida	1	intransitive
formatoida	1	intransitive
formuloida	1	intransitive
fosfaattipuskuroida	1	intransitive
fosforesoida	1	intransitive
fosforoida	1	intransitive
fosforyloida	1	intransitive
fossiilistua	1	intransitive
fossilisoitua	1	intransitive
fragmentoida	1	intransitive
fraktioida	1	intransitive
frankeerata	1	intransitive
frankkeerata	1	intransitive
fraseerata	1	intransitive
friikahtaa	1	intransitive
friteerata	1	intransitive
frustroida	1	intransitive
frustroitua	1	intransitive
fubaroida	1	intransitive
fudata	1	intransitive
fudia	1	intransitive
fundeerata	1	intransitive
funtsata	1	intransitive
funtsia	1	intransitive
fuskata	1	intransitive
futata	1	intransitive
futia	1	intransitive
fuusata	1	intransitive
fuusioida	1	intransitive
fuusioitua	1	intransitive
föönata	1	intransitive
gallupoida	1	intransitive
galvanoida	1	intransitive
garnetoida	1	intransitive
geenimuunnella	1	intransitive
geminoida	1	intransitive
geminoitua	1	intransitive
generoida	1	intransitive
gettoistua	1	intransitive
gettoutua	1	intransitive
ghettoutua	1	intransitive
glaseerata	1	intransitive
globaalistaa	1	intransitive
globaalistua	1	intransitive
globalisoida	1	intransitive
globalisoitua	1	intransitive
golfata	1	intransitive
googlata	1	intransitive
googlettaa	1	intransitive
graavata	1	intransitive
gratinoida	1	intransitive
graveerata	1	intransitive
griljeerata	1	intransitive
grillailla	1	intransitive
grillata	1	intransitive
gryndata	1	intransitive
guuglata	1	intransitive
haahuilla	1	intransitive
haaksirikkoutua	1	intransitive
haalata	1	intransitive
haalentaa	1	intransitive
haalentua	1	intransitive
haaleta	1	intransitive
haalia	1	intransitive
haalistaa	1	intransitive
haalistua	1	intransitive
haaltua	1	intransitive
