lemma	NOUN	blacklist
Kaiku	PROPN	propn-blocking
Kainalo	PROPN	propn-blocking
Kainaloinen	PROPN	propn-blocking
Kaino	PROPN	propn-blocking
Kainulainen	PROPN	propn-blocking
Kaisla	PROPN	propn-blocking
Kaislikko	PROPN	propn-blocking
Kaista	PROPN	propn-blocking
Kaistale	PROPN	propn-blocking
Kaita	PROPN	propn-blocking
Kaitainen	PROPN	propn-blocking
Kaivanto	PROPN	propn-blocking
Kaivo	PROPN	propn-blocking
Kaivovesi	PROPN	propn-blocking
Kajo	PROPN	propn-blocking
Kakkara	PROPN	propn-blocking
Kakkonen	PROPN	propn-blocking
Kakkula	PROPN	propn-blocking
Kako	PROPN	propn-blocking
Kaksinainen	PROPN	propn-blocking
Kaksinkertainen	PROPN	propn-blocking
Kaksipäinen	PROPN	propn-blocking
Kaksonen	PROPN	propn-blocking
Kala	PROPN	propn-blocking
Kalakukko	PROPN	propn-blocking
Kalalammikko	PROPN	propn-blocking
Kalamaja	PROPN	propn-blocking
Kalasatama	PROPN	propn-blocking
Kalastajakylä	PROPN	propn-blocking
Kalasääski	PROPN	propn-blocking
Kalatie	PROPN	propn-blocking
Kalavesi	PROPN	propn-blocking
Kalikka	PROPN	propn-blocking
Kalina	PROPN	propn-blocking
Kalja	PROPN	propn-blocking
Kalju	PROPN	propn-blocking
Kalke	PROPN	propn-blocking
Kalkki	PROPN	propn-blocking
Kalkkikivi	PROPN	propn-blocking
Kalkkimaa	PROPN	propn-blocking
Kalkkinen	PROPN	propn-blocking
Kallio	PROPN	propn-blocking
Kallioinen	PROPN	propn-blocking
Kallioluoto	PROPN	propn-blocking
Kallionhalkeama	PROPN	propn-blocking
Kallioperä	PROPN	propn-blocking
Kalliopohja	PROPN	propn-blocking
Kallioranta	PROPN	propn-blocking
Kalliosaari	PROPN	propn-blocking
Kallis	PROPN	propn-blocking
Kallo	PROPN	propn-blocking
Kalma	PROPN	propn-blocking
Kalmari	PROPN	propn-blocking
Kalmisto	PROPN	propn-blocking
Kalmo	PROPN	propn-blocking
Kalpa	PROPN	propn-blocking
Kalske	PROPN	propn-blocking
Kalteri	PROPN	propn-blocking
Kalteva	PROPN	propn-blocking
Kaltio	PROPN	propn-blocking
Kaltto	PROPN	propn-blocking
Kalusto	PROPN	propn-blocking
Kalvo	PROPN	propn-blocking
Kama	PROPN	propn-blocking
Kamari	PROPN	propn-blocking
Kammari	PROPN	propn-blocking
Kammi	PROPN	propn-blocking
Kammio	PROPN	propn-blocking
Kampela	PROPN	propn-blocking
Kamppi	PROPN	propn-blocking
Kampsu	PROPN	propn-blocking
Kampura	PROPN	propn-blocking
Kamu	PROPN	propn-blocking
Kan	PROPN	propn-blocking
Kanaali	PROPN	propn-blocking
Kanala	PROPN	propn-blocking
Kananen	PROPN	propn-blocking
Kanapata	PROPN	propn-blocking
Kanava	PROPN	propn-blocking
Kanavisto	PROPN	propn-blocking
Kandi	PROPN	propn-blocking
Kaneli	PROPN	propn-blocking
Kanervikko	PROPN	propn-blocking
Kanervisto	PROPN	propn-blocking
Kangas	PROPN	propn-blocking
Kangaskorpi	PROPN	propn-blocking
Kangasmaa	PROPN	propn-blocking
Kangasmetsä	PROPN	propn-blocking
Kani	PROPN	propn-blocking
Kankainen	PROPN	propn-blocking
Kankare	PROPN	propn-blocking
Kankuri	PROPN	propn-blocking
Kannas	PROPN	propn-blocking
Kannel	PROPN	propn-blocking
Kannike	PROPN	propn-blocking
Kannikka	PROPN	propn-blocking
Kannokko	PROPN	propn-blocking
Kannonpää	PROPN	propn-blocking
Kannus	PROPN	propn-blocking
Kannustin	PROPN	propn-blocking
Kansa	PROPN	propn-blocking
