lemma	homonym	plurale_tantum
Hanhipuronkorvet	1	obligatory
Hanhipuronniityt	1	obligatory
Hanhipäät	1	obligatory
Hanhisaaret	1	obligatory
Hanhivaaranlehdot	1	obligatory
Hanhivuoret	1	obligatory
Haninsaaret	1	obligatory
hankajäkälä	1	common
Hankakummut	1	obligatory
Hankalammit	1	obligatory
Hankapuljut	1	obligatory
Hankarimmit	1	obligatory
Hankarimpilammit	1	obligatory
Hankavittikot	1	obligatory
hankintakulut	1	obligatory
hankintakustannukset	1	obligatory
Hankolammit	1	obligatory
Hankosaaret	1	obligatory
Hanlammit	1	obligatory
Hanmäet	1	obligatory
Hannankalliot	1	obligatory
