lemma	homonym	boundaries
aitalikusteri	1	aita{WB}likusteri
aitamateriaali	1	aita{WB}materiaali
aitapensas	1	aita{WB}pensas
aitiopaikka	1	aitio{WB}paikka
aitoamaryllis	1	aito{WB}amaryllis
aitobakteeri	1	aito{WB}bakteeri
aitoelämänlanka	1	aito{WB}elämänlanka
aitohevosmuurahainen	1	aito{WB}hevosmuurahainen
aitohunajakukka	1	aitohunaja{WB}kukka
aitokana	1	aito{WB}kana
aitokissanminttu	1	aito{WB}kissanminttu
aitokoi	1	aito{WB}koi
aitoperäinen	1	aito{WB}peräinen
aitosammakko	1	aito{WB}sammakko
aitosammal	1	aito{WB}sammal
aitosieni	1	aito{WB}sieni
aitosudenkorento	1	aito{WB}sudenkorento
aitosuomalainen	1	aito{WB}suomalainen
aitosuomalaisuus	1	aito{WB}suomalaisuus
aitosyöpä	1	aito{WB}syöpä
aitotumallinen	1	aito{WB}tumallinen
aitotumallinen	2	aito{WB}tumallinen
aitoukonhattu	1	aito{WB}ukonhattu
aitoustodistus	1	aitous{WB}todistus
aitovieri	1	aito{WB}vieri
aitoviikuna	1	aito{WB}viikuna
aitoviini	1	aito{WB}viini
aitoviiniköynnös	1	aito{WB}viiniköynnös
aitovirna	1	aito{WB}virna
aitovyötiäinen	1	aito{WB}vyötiäinen
Aittovaara	1	Aitto{WB}vaara
aivoaine	1	aivo{WB}aine
aivoaneurysma	1	aivo{WB}aneurysma
aivofilmi	1	aivo{WB}filmi
aivohalvaus	1	aivo{WB}halvaus
aivohermo	1	aivo{WB}hermo
aivoinvalidi	1	aivo{WB}invalidi
aivojenpesu	1	aivojen{WB}pesu
aivojensisäinen	1	aivojen{WB}sisäinen
aivokaari	1	aivo{WB}kaari
aivokalvo	1	aivo{WB}kalvo
aivokalvokasvain	1	aivokalvo{WB}kasvain
aivokalvolaskimo	1	aivokalvo{WB}laskimo
aivokalvontulehdus	1	aivo{WB}kalvon{WB}tulehdus
aivokalvotulehdus	1	aivokalvo{WB}tulehdus
aivokalvovaltimo	1	aivokalvo{WB}valtimo
aivokammio	1	aivo{WB}kammio
aivokapasiteetti	1	aivo{WB}kapasiteetti
aivokasvain	1	aivo{WB}kasvain
aivokirurgi	1	aivo{WB}kirurgi
aivokirurgia	1	aivo{WB}kirurgia
aivokoppa	1	aivo{WB}koppa
aivokoralli	1	aivo{WB}koralli
aivokuolema	1	aivo{WB}kuolema
aivokuollut	1	aivo{WB}kuollut
aivokuollut	2	aivo{WB}kuollut
aivokuori	1	aivo{WB}kuori
aivokuorukka	1	aivo{WB}kuorukka
aivokurkiainen	1	aivo{WB}kurkiainen
aivokuume	1	aivo{WB}kuume
aivokuva	1	aivo{WB}kuva
aivokuvaus	1	aivo{WB}kuvaus
aivokäyrä	1	aivo{WB}käyrä
aivolaskimo	1	aivo{WB}laskimo
aivoleikkaus	1	aivo{WB}leikkaus
aivolisäke	1	aivo{WB}lisäke
aivolisäkkeetön	1	aivo{WB}lisäkkeetön
aivolääkäri	1	aivo{WB}lääkäri
aivomato	1	aivo{WB}mato
aivomuuri	1	aivo{WB}muuri
aivonesteviemäri	1	aivoneste{WB}viemäri
aivopaine	1	aivo{WB}paine
aivopestä	1	aivo{WB}pestä
aivopesu	1	aivo{WB}pesu
aivopoimu	1	aivo{WB}poimu
aivopuolisko	1	aivo{WB}puolisko
aivopähkinä	1	aivo{WB}pähkinä
aivopöhö	1	aivo{WB}pöhö
aivoriihi	1	aivo{WB}riihi
aivorunko	1	aivo{WB}runko
aivosairaus	1	aivo{WB}sairaus
aivoselkäydinkuume	1	aivoselkäydin{WB}kuume
aivo-selkäydinneste	1	aivo-selkä{WB}ydin{WB}neste
aivosilta	1	aivo{WB}silta
aivosolu	1	aivo{WB}solu
aivosyntyinen	1	aivo{WB}syntyinen
aivosähkökäyrä	1	aivo{WB}sähkö{WB}käyrä
aivotauti	1	aivo{WB}tauti
aivotiede	1	aivo{WB}tiede
aivotoiminta	1	aivo{WB}toiminta
aivotrusti	1	aivo{WB}trusti
aivotulehdus	1	aivo{WB}tulehdus
aivoturso	1	aivo{WB}turso
aivoturvotus	1	aivo{WB}turvotus
aivotyö	1	aivo{WB}työ
aivotyöskentelijä	1	aivo{WB}työskentelijä
aivotärähdys	1	aivo{WB}tärähdys
aivovaippa	1	aivo{WB}vaippa
aivovaltimo	1	aivo{WB}valtimo
aivovamma	1	aivo{WB}vamma
aivovammainen	1	aivo{WB}vammainen
aivovammainen	2	aivo{WB}vammainen
aivovaurio	1	aivo{WB}vaurio
aivovauriolapsi	1	aivo{WB}vaurio{WB}lapsi
aivoverenkierto	1	aivo{WB}veren{WB}kierto
aivoverenvuoto	1	aivo{WB}veren{WB}vuoto
aivoverisuonitukos	1	aivoverisuoni{WB}tukos
aivoveritulppa	1	aivo{WB}veritulppa
aivoveritulppa	2	aivo{WB}veri{WB}tulppa
aivoverkosto	1	aivo{WB}verkosto
aivovienti	1	aivo{WB}vienti
aivovoimistelu	1	aivo{WB}voimistelu
aivovuoto	1	aivo{WB}vuoto
aivoödeema	1	aivo{WB}ödeema
ajan mittaan	1	ajan mittaan
ajanhaaskaus	1	ajan{WB}haaskaus
ajanhukka	1	ajan{WB}hukka
ajanjako	1	ajan{WB}jako
ajanjakso	1	ajan{WB}jakso
ajankohta	1	ajan{WB}kohta
ajankohtainen	1	ajan{WB}kohtainen
ajankohtaisohjelma	1	ajankohtais{WB}ohjelma
ajankohtaisohjelma	2	ajan{WB}kohtais{WB}ohjelma
ajankohtaistaa	1	ajan{WB}kohtaistaa
ajankohtaisuus	1	ajan{WB}kohtaisuus
ajankulu	1	ajan{WB}kulu
ajankuva	1	ajan{WB}kuva
ajankuvaus	1	ajan{WB}kuvaus
ajanlasku	1	ajan{WB}lasku
ajanmittaus	1	ajan{WB}mittaus
ajanmukainen	1	ajan{WB}mukainen
ajanmukaisesti	1	ajan{WB}mukaisesti
ajanmukaistaa	1	ajan{WB}mukaistaa
ajanmukaisuus	1	ajan{WB}mukaisuus
ajanmääritys	1	ajan{WB}määritys
ajannäyttäjä	1	ajan{WB}näyttäjä
ajannäyttäjähibiskus	1	ajannäyttäjä{WB}hibiskus
ajannäyttäjäkukka	1	ajannäyttäjä{WB}kukka
ajanottaja	1	ajan{WB}ottaja
ajanottaminen	1	ajan{WB}ottaminen
ajanotto	1	ajan{WB}otto
ajanpeluu	1	ajan{WB}peluu
ajanpuute	1	ajan{WB}puute
ajansäästö	1	ajan{WB}säästö
ajantasainen	1	ajan{WB}tasainen
ajantasaistaa	1	ajan{WB}tasaistaa
ajantasaisuus	1	ajan{WB}tasaisuus
