lemma	new_para	plurale_tantum
Vanhanniemenprantit	N_KASTANJETIT	obligatory
Vanhanpaikanpellot	N_AALLOT	obligatory
Vanhanpalonlammit	N_LAMMIT	obligatory
Vanhanpiiankalliot	N_RAUNIOT	obligatory
Vanhanpuolenkummut	N_KUMMUT	obligatory
Vanhanrannankalliot	N_RAUNIOT	obligatory
Vanhantorpansuot	N_SUOT	obligatory
vanhempi	N_VANHEMPI	common
Vanhuhdanlukot	N_JOUKOT	obligatory
vanhuudenpäivät	N_KÄRÄJÄT	obligatory
vankkurit	N_FARMARIT	obligatory
Vannesaaret	N_SAARET	obligatory
Vantaan Pussihukat	N_SUKAT	obligatory
Vantaan Salamat	N_MARKKINAT	obligatory
Vantuslammit	N_LAMMIT	obligatory
vapaaehtoisjoukko	N_UKKO	common
vapaakiduskotilo	N_RUIPELO	common
Vapesaaret	N_SAARET	obligatory
Vapukarit	N_LASIT	obligatory
Vapunsaarenmulkut	N_FARKUT	obligatory
Vapunsaaret	N_SAARET	obligatory
Varanotaarit	N_FARMARIT	obligatory
Varassaaret	N_SAARET	obligatory
Varastinlammit	N_LAMMIT	obligatory
varastointikustannukset	N_SERKUKSET	obligatory
Varesaavansaaret	N_SAARET	obligatory
Vareskankaat	N_RENKAAT	obligatory
Vareskummut	N_KUMMUT	obligatory
Vareslammit	N_LAMMIT	obligatory
Varesojanniitut	N_NIITUT	obligatory
Varessaaret	N_SAARET	obligatory
Varestievat	N_VARAT	obligatory
Varhaisnuorisoliitto Haukat	N_PAIKAT	obligatory
varhaisuutiset	N_RAPPUSET	obligatory
variksenkukka	N_LUOKKA	common
variksenmarjakasvi	N_RUUVI	common
Varisharjut	N_HOUSUT	obligatory
Variskallionluodot	N_PIDOT	obligatory
Variskalliot	N_RAUNIOT	obligatory
Variskankaat	N_RENKAAT	obligatory
Variskarit	N_LASIT	obligatory
Varislammit	N_LAMMIT	obligatory
Varisluodot	N_PIDOT	obligatory
Varismäenkalliot	N_RAUNIOT	obligatory
Varissaaret	N_SAARET	obligatory
variste	N_ASTE	common
Varisvaaranhännät	N_HÄNNÄT	obligatory
Varjakanlammit	N_LAMMIT	obligatory
varjohiippa	N_TIPPA	common
varjostinkuusikasvi	N_RUUVI	common
Varkaankivet	N_SAKSET	obligatory
