lemma	new_paras	homonym
Anne-Sophie	['N_BRASSERIE']	1
Anne-Sophie	['N_ZOMBIE']	2
Annie	['N_BRASSERIE']	1
Annie	['N_ZOMBIE']	2
Annmarie	['N_BRASSERIE']	1
Annmarie	['N_ZOMBIE']	2
Ann-Marie	['N_BRASSERIE']	1
Ann-Marie	['N_ZOMBIE']	2
Ansas	['N_PATSAS']	1
Ansas	['N_VAKUUTUS']	2
antarktislainen	['A_AAKKOSELLINEN']	1
antarktislainen	['N_AAKKOSTAMINEN']	2
antiamerikkalainen	['A_AAKKOSELLINEN']	1
antiamerikkalainen	['N_AAKKOSTAMINEN']	2
antiguabarbudalainen	['A_AAKKOSELLINEN']	1
antiguabarbudalainen	['N_AAKKOSTAMINEN']	2
antigualainen	['A_AAKKOSELLINEN']	1
antigualainen	['N_AAKKOSTAMINEN']	2
antiikkinahka	['N_KIRJA']	1
antiikkinahka	['N_VIKA']	2
antinomilainen	['A_AAKKOSELLINEN']	1
antinomilainen	['N_AAKKOSTAMINEN']	2
Antipas	['N_PATSAS']	1
Antipas	['N_VAKUUTUS']	2
antipyreettinen	['A_KYLMÄJÄRKINEN']	1
antipyreettinen	['N_KYLKIÄINEN']	2
Anto	['N_TALO']	1
Anto	['N_TUNTO']	2
anttolainen	['A_AAKKOSELLINEN']	1
anttolainen	['N_AAKKOSTAMINEN']	2
anttolalainen	['A_AAKKOSELLINEN']	1
anttolalainen	['N_AAKKOSTAMINEN']	2
anturanahka	['N_KIRJA']	1
anturanahka	['N_VIKA']	2
AOL	['ACRO_ÄKS']	1
AOL	['N_PUNK']	2
Aoos	['N_PUNK']	1
Aoos	['N_VAKUUTUS']	2
Aóos	['N_PUNK']	1
Aóos	['N_VAKUUTUS']	2
APEC	['ACRO_EE']	1
APEC	['N_PUNK']	2
appalakkilainen	['A_AAKKOSELLINEN']	1
appalakkilainen	['N_AAKKOSTAMINEN']	2
ARA	['ACRO_AA']	1
ARA	['N_FIFA']	2
arabiemiirikuntalainen	['A_AAKKOSELLINEN']	1
arabiemiirikuntalainen	['N_AAKKOSTAMINEN']	2
Arachthos	['N_PUNK']	1
Arachthos	['N_VAKUUTUS']	2
Árachthos	['N_PUNK']	1
Árachthos	['N_VAKUUTUS']	2
Arakelinpuhti	['N_RUUVI']	1
Arakelinpuhti	['N_TAUTI']	2
aramealainen	['A_AAKKOSELLINEN']	1
aramealainen	['N_AAKKOSTAMINEN']	2
Archangelos	['N_PUNK']	1
Archangelos	['N_VAKUUTUS']	2
Archángelos	['N_PUNK']	1
Archángelos	['N_VAKUUTUS']	2
Arcus	['N_PUNK']	1
Arcus	['N_VAKUUTUS']	2
ARENE	['ACRO_EE']	1
ARENE	['N_NALLE']	2
argentiinalainen	['A_AAKKOSELLINEN']	1
argentiinalainen	['N_AAKKOSTAMINEN']	2
argoslainen	['A_AAKKOSELLINEN']	1
argoslainen	['N_AAKKOSTAMINEN']	2
Argyropoulos	['N_PUNK']	1
Argyropoulos	['N_VAKUUTUS']	2
Arhe	['N_ASTE']	1
Arhe	['N_NALLE']	2
Ariste	['N_ASTE']	1
Ariste	['N_NALLE']	2
Aristoteles	['N_ARISTOTELES']	1
Aristoteles	['N_VAKUUTUS']	2
Arkhimedes	['N_ARISTOTELES']	1
Arkhimedes	['N_VAKUUTUS']	2
Armas	['N_PATSAS']	1
Armas	['N_VAKUUTUS']	2
armenialainen	['A_AAKKOSELLINEN']	1
armenialainen	['N_AAKKOSTAMINEN']	2
arminiolainen	['A_AAKKOSELLINEN']	1
arminiolainen	['N_AAKKOSTAMINEN']	2
Arolampi	['N_LAMMI']	1
Arolampi	['N_SAMPI']	2
Arpo	['N_HEPO']	1
Arpo	['N_TALO']	2
Arppe	['N_NALLE']	1
Arppe	['N_RAPPE']	2
Arras	['N_NOUGAT']	1
Arras	['N_PUNK']	2
artjärveläinen	['A_KYLMÄJÄRKINEN']	1
artjärveläinen	['N_KYLKIÄINEN']	2
artjärvinen	['A_KYLMÄJÄRKINEN']	1
artjärvinen	['N_KYLKIÄINEN']	2
arubalainen	['A_AAKKOSELLINEN']	1
arubalainen	['N_AAKKOSTAMINEN']	2
Arve	['N_ASTE']	1
Arve	['N_NALLE']	2
arvostettu	['A_VIMMATTU']	1
arvostettu	['N_TORTTU']	2
Arvydas	['N_PUNK']	1
Arvydas	['N_VAKUUTUS']	2
Asarias	['N_PATSAS']	1
Asarias	['N_VAKUUTUS']	2
ascii	['ACRO_II',	1
ascii	['N_HAI']	2
ASEAN	['ACRO_ÄKS']	1
ASEAN	['N_PUNK']	2
ASEM	['ACRO_ÄKS']	1
ASEM	['N_PUNK']	2
asiaankuuluva	['A_RUMA']	1
asiaankuuluva	['N_VOIMA']	2
asianosainen	['A_AAKKOSELLINEN']	1
asianosainen	['N_AAKKOSTAMINEN']	2
asikkalainen	['A_AAKKOSELLINEN']	1
asikkalainen	['N_AAKKOSTAMINEN']	2
asikkalalainen	['A_AAKKOSELLINEN']	1
asikkalalainen	['N_AAKKOSTAMINEN']	2
askaislainen	['A_AAKKOSELLINEN']	1
askaislainen	['N_AAKKOSTAMINEN']	2
askaistelainen	['A_AAKKOSELLINEN']	1
askaistelainen	['N_AAKKOSTAMINEN']	2
askillinen	['A_AAKKOSELLINEN']	1
askillinen	['N_AAKKOSTAMINEN']	2
Asklipeio	['N_TALO']	1
Asklipeio	['N_TUOMIO']	2
Asklípeio	['N_TALO']	1
Asklípeio	['N_TUOMIO']	2
askolalainen	['A_AAKKOSELLINEN']	1
askolalainen	['N_AAKKOSTAMINEN']	2
Asmunti	['N_RUUVI']	1
Asmunti	['N_SOINTI']	2
Asos	['N_PUNK']	1
Asos	['N_VAKUUTUS']	2
assami	['N_KANAALI']	1
assami	['N_RUUVI']	2
assamilainen	['A_AAKKOSELLINEN']	1
assamilainen	['N_AAKKOSTAMINEN']	2
asunnoton	['A_VIATON']	1
asunnoton	['N_OSATON']	2
Asunta	['N_KUNTA']	1
Asunta	['N_KUTSUNTA']	2
Asus	['N_PUNK']	1
Asus	['N_VAKUUTUS']	2
